,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
93,0.763,0.621,11,-6.169,0,0.066,0.0105,2.94e-06,0.106,0.582,82.042,211130,4,0,68mrW6gXHgupgSiDHgaDi5
94,0.824,0.837,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,289933,4,0,2mM3gZ0BbPwPPMelbA8vgt
95,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,1,47EiUVwUp4C9fGccaPuUCS
96,0.852,0.669,6,-4.067,1,0.0748,0.0438,0.0,0.0914,0.682,110.696,151813,5,0,4e54PAuILqrhjr2ryuMvdq
97,0.823,0.754,0,-4.41,1,0.0831,0.202,0.000907,0.178,0.783,90.005,195493,4,0,0EZInKKYTW5LanhkBC8JIj
98,0.784,0.587,4,-3.572,0,0.0767,0.375,0.00109,0.111,0.261,90.032,209540,4,0,13Tbv4nflNxg9kYBIbJnd9
99,0.802,0.754,11,-6.046,1,0.0435,0.234,1.38e-06,0.175,0.702,92.016,254254,4,0,2pPUUM4NPWT4KV7Jf0Mnmb
100,0.64,0.406,5,-10.15,0,0.0594,0.175,0.0583,0.124,0.527,110.083,268160,4,1,3q5nnXfQNGbQARV5vC86Fw
101,0.84,0.738,4,-2.341,0,0.0541,0.0708,0.000223,0.105,0.727,94.024,169000,4,0,1VkfjnJvS5Q5Zn5TmqvcFZ
102,0.85,0.541,2,-4.522,1,0.0674,0.161,5.01e-06,0.286,0.916,92.003,165275,4,0,0cOa970mzTWAxKtltpkpLc
103,0.606,0.755,7,-4.916,0,0.0861,0.183,0.0,0.556,0.743,179.826,202430,4,0,3OYQbnGzAPgoxlRRnu5PRa
104,0.692,0.639,0,-6.717,1,0.0352,0.00727,0.0,0.199,0.733,140.06,193343,4,0,2plRom0urixt6BE8t7kOhQ
105,0.82,0.745,0,-3.31,1,0.0805,0.0255,2.63e-06,0.109,0.846,156.005,178867,4,0,0fZCK3FqsrWGZPnZhrwkeI
106,0.629,0.486,8,-8.198,1,0.0305,0.497,0.0,0.117,0.382,122.011,244680,4,1,67AKmlZEFlxmiosbY9U5ea
107,0.635,0.682,10,-6.86,1,0.271,0.207,0.0,0.361,0.673,89.085,288282,4,0,2fpKvUg9hxiKAOLuwfEdlJ
108,0.681,0.829,1,-5.786,1,0.0714,0.0409,0.0,0.0698,0.77,103.368,197419,4,0,3SwDpPl0yedqCJIy0Msor7
109,0.83,0.748,1,-5.362,1,0.162,0.354,0.0,0.0992,0.523,133.028,177443,4,0,3ke6it1vTmHtz2ApcIVUz5
110,0.766,0.688,11,-7.223,0,0.261,0.187,0.000126,0.152,0.62,169.929,279832,4,0,7BErD9UIVpUr07RXsX8YyX
111,0.713,0.627,9,-8.723,0,0.316,0.483,5.48e-06,0.112,0.653,82.562,180364,4,0,2jMesSWfkSsFyk94weNwi1
112,0.294,0.47,0,-9.161,1,0.0335,0.503,0.543,0.109,0.149,77.805,234613,4,1,7GF3A4qaws52KBcxUB1Owl
113,0.563,0.59,6,-7.01,1,0.04,0.546,0.000212,0.121,0.216,153.87,208378,4,1,7aogFQAg0TrYKwGHurgNPg
114,0.712,0.415,10,-5.466,1,0.0323,0.536,0.0,0.0829,0.635,125.029,205387,4,1,2Vficy40iZyTKoAJNwLWzd
115,0.557,0.301,6,-10.91,1,0.0391,0.659,0.0,0.108,0.672,183.812,213543,4,1,6OOTtXpBTXSJYCgKf6zjae
116,0.687,0.714,10,-4.644,0,0.0284,0.0605,4.17e-06,0.363,0.733,94.978,167034,4,0,15BybKdcnp8Et76oAjrZwZ
117,0.652,0.281,7,-13.617,0,0.0356,0.701,0.000509,0.1,0.58,120.314,171000,4,1,2GWbiQolZqxJhuq4ScqrCY
118,0.811,0.733,9,-4.277,1,0.0727,0.0559,0.0,0.135,0.781,154.044,166016,4,0,2yPjrueRrY4svAPIxwLH6P
119,0.713,0.505,10,-7.072,0,0.0674,0.0636,0.0,0.126,0.335,113.925,214536,4,0,6yvWk1foReDykNoYd7n1Wc
120,0.576,0.703,8,-6.713,1,0.032,0.0701,0.00443,0.116,0.769,179.88,234320,4,0,2PtH42TBhfgAu6jS4RMqEw
121,0.5,0.669,9,-4.512,1,0.0336,0.621,0.0,0.239,0.888,139.987,183840,4,0,7FMa8CKN1im2uXR9bArJvX
122,0.632,0.591,1,-6.999,0,0.312,0.355,0.0,0.172,0.378,79.229,160443,4,0,48o727mFrVfLqaB8ugnCy7
123,0.605,0.69,9,-4.881,1,0.0714,0.0105,2.37e-05,0.2,0.443,129.714,179250,4,0,16Q5CS1hO8nTybYOj4ibsP
124,0.572,0.458,1,-7.539,1,0.278,0.42,0.0,0.114,0.331,80.298,135280,4,1,41k2uNbjNzjUTmwvpw1kK8
125,0.721,0.588,11,-6.546,1,0.254,0.574,0.0,0.115,0.653,84.861,190667,4,0,1a7BzukLRIIsOvJGozrFja
126,0.815,0.824,4,-3.413,0,0.0938,0.268,0.00108,0.131,0.859,128.013,208125,4,0,16Kt9YpT3Xfmhbirgnn0t5
127,0.535,0.741,11,-7.447,0,0.0625,0.31,0.00815,0.84,0.661,189.98,273947,4,0,6W19LhykJsHs6R93DtCP4F
128,0.781,0.701,9,-5.449,1,0.0853,0.168,1.77e-05,0.0635,0.744,169.942,215000,4,0,1empPjAI5SfG0Qk8RXzHj8
129,0.667,0.349,9,-11.601,1,0.0381,0.786,0.0,0.178,0.492,79.952,151000,4,1,7fKIFyPaVTYDP6TWWE6pYP
130,0.506,0.772,7,-5.742,0,0.136,0.0875,0.0,0.539,0.519,129.943,216107,4,0,1qZIJDqRMoq7BnaJqL7hRa
131,0.529,0.83,0,-5.804,1,0.0543,0.0268,0.0,0.135,0.149,119.224,192500,4,0,5z8JnlDscdMJsl4xL3ZWI8
132,0.829,0.469,2,-9.776,0,0.0459,0.48,0.0,0.106,0.662,94.996,140059,4,1,1EZd7OHOk3n4tIR3viDAmP
133,0.279,0.31,2,-10.117,0,0.0275,0.733,0.0,0.066,0.12,84.431,207560,3,1,6FgRSLNdxmLAtpEKPGgYhn
134,0.669,0.237,1,-9.804,1,0.0318,0.871,7.94e-06,0.147,0.204,123.744,244309,4,1,5EWino1os6FUYJ1q7KRDnN
135,0.565,0.342,7,-7.291,1,0.0361,0.701,0.0,0.117,0.88,82.426,205981,4,1,5f7ukKxiI3jySkjhRHE6pO
136,0.614,0.97,4,-5.592,0,0.0622,0.00855,0.838,0.323,0.073,127.986,188438,4,0,0Nxp4aH45UtTeL6pe8t7YQ
137,0.64,0.297,3,-13.221,1,0.106,0.71,0.0143,0.165,0.239,75.018,131874,4,1,4641GJZLmYVBT8mRXRKaid
138,0.527,0.263,7,-9.335,0,0.0375,0.835,0.0,0.0946,0.496,107.842,184337,4,1,1O8wZHsmHtrjVehbTTC5yM
139,0.845,0.56,2,-7.002,0,0.107,0.143,2.08e-05,0.0556,0.819,97.988,230204,4,0,0PG6Bi0xxnArCbS6hJpC4q
140,0.733,0.867,8,-3.118,1,0.229,0.25,0.0,0.114,0.778,99.038,197879,4,0,6wnysAiKxkM6Yk87S4xSI9
141,0.583,0.117,8,-18.108,0,0.0437,0.829,0.0213,0.0991,0.217,127.719,209498,3,1,07H0vnntj9PXpuntUFjrMB
142,0.806,0.486,5,-8.961,1,0.0393,0.738,0.000302,0.0987,0.67,139.97,186441,4,1,4rf696AmoiPsggWktpSyX5
143,0.718,0.63,4,-9.147,0,0.0373,0.0905,0.000169,0.483,0.666,115.537,164524,4,0,2xukDcihOVcK9cBvpR25we
144,0.684,0.567,6,-8.031,1,0.212,0.179,0.0,0.164,0.702,143.01,151588,4,0,6DPIWnxy6DBXUrkdAs58dn
145,0.773,0.44,11,-7.526,0,0.0566,0.0232,1.55e-06,0.0971,0.627,121.93,130348,4,0,6BQKLd86gks38xcNuXLw4q
146,0.728,0.499,9,-13.444,1,0.0598,0.313,0.00528,0.111,0.697,87.998,256364,4,1,0QKe7mmvpDXrIKFPrSLdhT
147,0.744,0.722,4,-4.745,0,0.0794,0.419,2.57e-06,0.175,0.366,144.989,152949,4,0,5FjIKsvt2ipvEvpQtHhRvs
148,0.731,0.669,9,-4.957,1,0.0968,0.791,0.000206,0.221,0.515,95.092,164400,4,0,2VR24KhfUigt65Ta92WUEQ
149,0.706,0.471,2,-13.556,0,0.222,0.316,9.35e-06,0.677,0.273,100.005,204000,4,1,0q0pSALqPvJ3dU6kcXxYCD
150,0.829,0.765,9,-4.928,1,0.212,0.0718,3.52e-05,0.0405,0.853,140.06,202020,4,0,5ClmUS0EX91calScR72J1Y
151,0.489,0.729,1,-5.929,1,0.201,0.0338,0.0,0.126,0.56,159.952,206387,4,0,4O2bghGaaw93Fvzr9RZRdb
152,0.729,0.922,2,-4.017,1,0.0387,0.0758,0.00361,0.0877,0.827,99.997,211200,4,0,4fYyTeaWuwh5Rfxyn4SJun
153,0.716,0.671,5,-7.173,0,0.0469,0.0451,0.0561,0.0728,0.498,95.996,203750,4,0,3HN49qRXwoMJFX3juf6nKX
154,0.595,0.575,4,-7.803,0,0.0642,0.292,0.0601,0.123,0.155,119.89,167813,5,1,0HZkWfVqTqAcrnGov2nu74
155,0.685,0.473,7,-3.727,0,0.0543,0.186,5.16e-06,0.1,0.211,92.051,220401,4,0,1JBf8zlMB7ReukqHoAogSq
156,0.722,0.702,10,-8.129,0,0.0384,0.0689,0.00326,0.0965,0.682,92.008,187826,4,0,4hyvOfanBcQKaZNsBdPMZE
157,0.557,0.433,7,-10.791,1,0.043,0.836,1.65e-06,0.324,0.464,149.945,194601,4,1,5z2Z0gSfDm3l0bMU16apss
158,0.895,0.511,7,-10.516,1,0.0558,0.00116,0.257,0.113,0.163,111.998,175037,4,1,5lhVeVnr57fveNAiE4sYvG
159,0.733,0.643,7,-2.776,1,0.0575,0.584,0.0,0.112,0.618,92.709,176860,4,0,0onSWNbRAqpgdfA6SoJwNO
160,0.747,0.742,10,-6.472,1,0.185,0.404,0.0,0.0948,0.731,90.002,213852,4,0,1fER97OWHKmFNk9GOPFipq
161,0.508,0.723,6,-4.707,1,0.0861,0.177,0.0,0.0791,0.5,89.164,155000,4,0,0LLKjf2KtfSXMP7eaFMH0Q
162,0.603,0.572,2,-8.025,0,0.0424,0.0398,0.0556,0.0893,0.0758,93.773,162924,4,1,3UoZWRv1r8cYfQezXhVB2f
163,0.687,0.406,0,-8.758,1,0.0309,0.518,3.14e-06,0.167,0.393,119.907,278080,4,1,6b3bp1xgedgzwDbUtU951y
164,0.77,0.537,9,-4.894,1,0.0453,0.592,0.0,0.0692,0.944,114.803,194186,4,0,1UtAZBGtdYCN9neXNKlyTB
165,0.775,0.701,1,-3.358,1,0.4,0.306,0.0,0.0935,0.578,165.839,211773,4,0,0ZDncRoXNQLpEANaVx4TLo
